description	ground truth	output
The molecule is a cholesterol translocation that impacts aging, non-alcoholic fatty liver disease, tangier disease, and diabetic heart disease. The molecule is a stabilizing cytochrome oxidase, proton trap for oxidative phosphorylation, apoptosis, stabilizing mitochondrial structure that impacts barth syndrome.	CCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC(C)CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a nutrient, surfactant, energy source, herb, and woody. The molecule is a energy storage, emulsifier, membrane stabilizer, flavoring agent, and herbal.	CC(CO)CC(=O)CC1(C)CCC(c2ccoc2)O1	CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a nutrient that impacts alzheimer's disease, parkinson's disease, non-alcoholic fatty liver disease, and diabetes mellitus type 2.	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C=C\[C@@H](O)C/C=C\CCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a proteasome inhibitor.	CC(C)CC(NC(=O)C(N)COC(F)F)C(=O)O	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is anti tumor.	CCc1cc2c(cc1N1CCN(C(=O)CCOCCOCCC(=O)NC(C(=O)N3CC(O)CC3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a proton trap for oxidative phosphorylation and a apoptosis that impacts diabetic heart disease, aging, and tangier disease. The molecule is a stabilizing cytochrome oxidase, stabilizing mitochondrial structure, cholesterol translocation that impacts barth syndrome and non-alcoholic fatty liver disease.	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a nutrient, a flavoring agent, spicy, cinnamon, and floral.	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a proton trap for oxidative phosphorylation and a stabilizing cytochrome oxidase that impacts diabetic heart disease, non-alcoholic fatty liver disease, and tangier disease. The molecule is a apoptosis, cholesterol translocation, stabilizing mitochondrial structure that impacts barth syndrome and aging.	CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a type 2 diabetes treatment, a jnk inhibitor, and obesity treatment.	CC(=O)N1CCC(NC(=O)c2cccc3cnc(NC4CCC(O)CC4)nc23)CC1	CC(C)(C)OC(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1
The molecule is a electronic device, organic electroluminescent material, and electroluminescent compound.	c1ccc(-n2c3ccccc3c3cc(-c4ccc(N(c5ccc(-c6cccc(-c7ccc8ccccc8c7)c6)cc5)c5ccc(-c6ccc7c(c6)sc6ccccc67)cc5)cc4)ccc32)cc1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a cholesterol translocation, apoptosis, proton trap for oxidative phosphorylation that impacts diabetic heart disease and non-alcoholic fatty liver disease. The molecule is a stabilizing mitochondrial structure and a stabilizing cytochrome oxidase that impacts barth syndrome, aging, and tangier disease.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a organic electroluminescent member of the electroluminescent class.	Cc1cccc(N(c2ccc3cc4c5cccc6c7cc8ccc(N(c9cccc(C)c9)C9CC=Cc%10c9oc9ccccc%109)cc8cc7n(c4cc3c2)c56)c2cccc3c2oc2ccccc23)c1	c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a apoptosis, stabilizing mitochondrial structure, cholesterol translocation that impacts non-alcoholic fatty liver disease and tangier disease. The molecule is a stabilizing cytochrome oxidase and a proton trap for oxidative phosphorylation that impacts barth syndrome, aging, and diabetic heart disease.	CCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC(C)CC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCCCC
It impacts copd treatment.	C=C1c2cc(F)ccc2SN1c1ccc(Cl)cc1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a proton trap for oxidative phosphorylation and a cholesterol translocation that impacts barth syndrome, aging, and non-alcoholic fatty liver disease. The molecule is a apoptosis, stabilizing mitochondrial structure, stabilizing cytochrome oxidase that impacts diabetic heart disease and tangier disease.	CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC(C)CC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a energy source that impacts celiac disease, renal cell carcinoma, and cardiovascular disease. It has an effect on breast cancer, and impacts diabetes mellitus type 2, heart failure, and inflammatory bowel disease.	CCC=CCC(O)C(O)C=CC(O)CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a stabilizing mitochondrial structure, cholesterol translocation, stabilizing cytochrome oxidase that impacts barth syndrome and diabetic heart disease. The molecule is a proton trap for oxidative phosphorylation and a apoptosis that impacts aging, non-alcoholic fatty liver disease, and tangier disease.	CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC(C)C)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a hiv treatment and is anti retroviral.	COc1ccc(-c2nc3c(C(=O)N4CCN(C(CO)c5cccc(F)c5)CC4C)cnn3c(C(F)(F)F)c2C)cc1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
When heated to decomposition it emits highly toxic fumes of sulfur and nitrogen oxides. The molecule has Aromatic odor.	CCCCN(CC)C(=O)SCCC	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a nutrient that impacts diabetes mellitus type 2, non-alcoholic fatty liver disease, parkinson's disease, and alzheimer's disease.	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\CC1OC1C/C=C\CCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a kinase inhibitor and belongs to the cancer treatment class of molecules.	CN1CC2CCC(C1)N2Cc1ccc(Nc2ncc(F)c(-c3cc(F)c4nc5n(c4c3)C(C)(C)CC5)n2)nc1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a member of the thyroxine treatment class and affects both pancreatitis and atherosclerosis. The molecule is a nutrient and a fat storage, impacting both cardiovascular disease and metabolic syndrome.	CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=CCCCCCCCC)OC(=O)CCCCCCCCC/C=CCCCCCCCC
The molecule is a liquid crystal.	C=C(C)C(=O)OCCCc1cc(-c2ccc(OC(=O)CCc3ccc(CCCCCC)cc3)cc2)ccc1OCC(COC(=O)C(=C)C)(COC(=O)C(C)=O)COC(=O)C(C)=O	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a nutrient.	CCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\[C@@H](O)CCCC)COP(=O)(O)OC[C@H](N)C(=O)O	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a energy storage, energy source, membrane stabilizer, inflammatory that has an effect on lipotoxicity and impacts metabolic syndrome.	CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCC(C)C	CCC(C)CCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C
The molecule is a rock inhibitor.	CC(C)(C)c1ncc2cc(C(C)(C)C)[nH]c2n1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccccc6)cc6)cc4)cc4)cc3)cc2)cc1
The molecule is a thyroxine treatment that impacts both pancreatitis and cardiovascular disease. The molecule is a nutrient and a fat storage, impacting both metabolic syndrome and atherosclerosis.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=CCCCCCCCC)OC(=O)CCCCCCCCC/C=CCCCCCCCC
The molecule is a proton trap for oxidative phosphorylation, stabilizing mitochondrial structure, stabilizing cytochrome oxidase that impacts aging and diabetic heart disease. The molecule is a apoptosis and a cholesterol translocation that impacts barth syndrome, tangier disease, and non-alcoholic fatty liver disease.	CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCC
The molecule is a stabilizing mitochondrial structure and a proton trap for oxidative phosphorylation that impacts tangier disease, diabetic heart disease, and aging. The molecule is a apoptosis, stabilizing cytochrome oxidase, cholesterol translocation that impacts non-alcoholic fatty liver disease and barth syndrome.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a nutrient that impacts alzheimer's disease, diabetes mellitus type 2, parkinson's disease, and non-alcoholic fatty liver disease.	CCCCC/C=C\C=C\C(=O)CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C/CCCCCCCC/C=C\CCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a apoptosis and a cholesterol translocation that impacts tangier disease, diabetic heart disease, and non-alcoholic fatty liver disease. The molecule is a stabilizing mitochondrial structure, proton trap for oxidative phosphorylation, stabilizing cytochrome oxidase that impacts aging and barth syndrome.	CCCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC(C)C)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC(C)CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a stabilizing cytochrome oxidase, stabilizing mitochondrial structure, cholesterol translocation that impacts tangier disease and diabetic heart disease. The molecule is a apoptosis and a proton trap for oxidative phosphorylation that impacts barth syndrome, non-alcoholic fatty liver disease, and aging.	CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCC(C)C)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCC)OC(=O)CCCCCCCCC(C)CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCCCC
The molecule is a membrane stabilizer, fat storage, inflammatory that impacts obesity, atherosclerosis, and cardiovascular disease. The molecule is a nutrient and energy source, and it impacts pancreatitis. The molecule is a energy storage that affects cancer by impacting both thyroxine treatment and metabolic syndrome.	CCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCC(C)C	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)C
The molecule is a nutrient that impacts both metabolic syndrome and cardiovascular disease. The molecule is a fat storage and belongs to the thyroxine treatment class of molecules, impacting both pancreatitis and atherosclerosis.	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=CCCCCCCCC)OC(=O)CCCCCCCCC/C=CCCCCCCCC
The molecule is a energy source, inflammatory, nutrient, energy storage that impacts cardiovascular disease and obesity. The molecule is a fat storage that impacts both cancer and pancreatitis. The molecule is a membrane stabilizer and a thyroxine treatment, impacting both metabolic syndrome and atherosclerosis.	CCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCC(C)C	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C
The molecule is a magl inhibitor.	CC1C(OCc2c(F)cccc2C(F)(F)F)CN1OC(=O)C(F)(F)F	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a dyslipidemia treatment and is ppar modulator.	O=C(O)COc1ccc(SCC=C(c2ccccc2C(F)(F)F)c2ccccc2C(F)(F)F)cc1I	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a cholesterol translocation and a proton trap for oxidative phosphorylation, it impacts non-alcoholic fatty liver disease, and is smooth. The molecule is a food additive, surfactant, membrane stabilizer that impacts tangier disease and barth syndrome. The molecule is a stabilizing cytochrome oxidase, a emulsifier, and a energy storage, and it impacts aging. The molecule is a stabilizing mitochondrial structure, energy source, nutritional supplement, apoptosis that impacts diabetic heart disease.	CCCCCC/C=C\C=C/CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCC(C)C)COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a nutrient that affects both cervical cancer and breast cancer, and also impacts ulcerative colitis and atherosclerosis.	CC/C=C/C/C=C/C=C/C(O)CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a stabilizing mitochondrial structure, apoptosis, cholesterol translocation, proton trap for oxidative phosphorylation that impacts tangier disease. The molecule is a stabilizing cytochrome oxidase that impacts barth syndrome, diabetic heart disease, non-alcoholic fatty liver disease, and aging.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a kinase inhibitor.	CNc1cc(Oc2ccc3c(C(=O)Nc4cc(C(C)(C)C)nn4-c4cccc(CN5CCOCC5)c4)cccc3c2)ncn1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
When heated to decomposition it emits acrid smoke and irritating fumes.	CC12C(=O)OC(=O)C1(C)C1CCC2O1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a cholesterol translocation and a apoptosis that impacts barth syndrome, non-alcoholic fatty liver disease, and tangier disease. The molecule is a proton trap for oxidative phosphorylation, stabilizing mitochondrial structure, stabilizing cytochrome oxidase that impacts diabetic heart disease and aging.	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCCCC
The molecule is a emulsifier that impacts tangier disease, aging, and non-alcoholic fatty liver disease. The molecule is a stabilizing mitochondrial structure, cholesterol translocation, proton trap for oxidative phosphorylation, surfactant that impacts barth syndrome. The molecule is a membrane stabilizer, a food additive, and a energy storage, and it impacts diabetic heart disease. The molecule is a nutritional supplement, apoptosis, energy source, stabilizing cytochrome oxidase, and smooth.	CCC(C)CCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a membrane stabilizer, a nutritional supplement, and a energy source, and it impacts tangier disease. The molecule is a food additive, a energy storage, and a emulsifier, it impacts aging and is smooth. The molecule is a stabilizing mitochondrial structure and a stabilizing cytochrome oxidase, impacting both non-alcoholic fatty liver disease and diabetic heart disease. The molecule is a surfactant, proton trap for oxidative phosphorylation, cholesterol translocation, apoptosis that impacts barth syndrome.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a stabilizing cytochrome oxidase and a apoptosis that impacts barth syndrome, non-alcoholic fatty liver disease, and aging. The molecule is a stabilizing mitochondrial structure, proton trap for oxidative phosphorylation, cholesterol translocation that impacts diabetic heart disease and tangier disease.	CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
